epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2001.92,1.1589,1.52178,1.02768,0.18161,0.22154,0.14493,0.097,1.48169,2.57916,1.23768,0.000660045,0.000660045,0.000660045
43,2048.71,1.12573,1.45659,1.01347,0.21978,0.20602,0.17567,0.12148,1.4286,2.44625,1.21537,0.000649046,0.000649046,0.000649046
44,2095.02,1.14657,1.45651,1.01421,0.2396,0.16798,0.14983,0.09752,1.50133,2.64062,1.23679,0.000638047,0.000638047,0.000638047
45,2141.24,1.14035,1.44795,1.01541,0.19841,0.23387,0.14408,0.09739,1.49094,2.64102,1.24082,0.000627048,0.000627048,0.000627048
46,2189.89,1.09166,1.37059,1.01054,0.37617,0.20682,0.15898,0.10592,1.47533,2.51346,1.24409,0.000616049,0.000616049,0.000616049
47,2235.59,1.1349,1.40784,1.01617,0.24322,0.23411,0.17486,0.11929,1.47225,2.36942,1.25425,0.000605051,0.000605051,0.000605051
48,2283.88,1.10352,1.37267,1.02642,0.19493,0.25121,0.16221,0.11128,1.4533,2.50433,1.23933,0.000594052,0.000594052,0.000594052
49,2328.62,1.07618,1.38043,1,0.21528,0.22823,0.16098,0.11056,1.48024,2.53039,1.25721,0.000583053,0.000583053,0.000583053
50,2375.7,1.1099,1.39666,1.00393,0.17787,0.18497,0.14422,0.09733,1.57981,2.77689,1.26882,0.000572054,0.000572054,0.000572054
51,2420.65,1.1486,1.35065,1.00512,0.22905,0.24802,0.17294,0.11958,1.50837,2.52398,1.23747,0.000561055,0.000561055,0.000561055
52,2469.55,1.10348,1.33608,1.01606,0.25549,0.22978,0.16693,0.11217,1.46228,2.52405,1.2399,0.000550056,0.000550056,0.000550056
53,2515.51,1.09386,1.26658,1.00532,0.21023,0.25703,0.18449,0.12387,1.47753,2.50753,1.25816,0.000539057,0.000539057,0.000539057
54,2563.18,1.10317,1.25563,1.00905,0.34275,0.1818,0.17349,0.11437,1.47508,2.57281,1.24473,0.000528058,0.000528058,0.000528058
55,2610.71,1.06864,1.28961,0.97895,0.2593,0.20047,0.17051,0.1146,1.46871,2.5735,1.24316,0.000517059,0.000517059,0.000517059
56,2658.53,1.065,1.23094,0.98812,0.31348,0.1857,0.17037,0.11255,1.4436,2.61919,1.23084,0.00050606,0.00050606,0.00050606
57,2705.64,1.10002,1.23346,0.99084,0.26712,0.20524,0.16648,0.11382,1.4597,2.63087,1.21821,0.000495062,0.000495062,0.000495062
58,2751.34,1.06848,1.21023,0.98111,0.30394,0.19593,0.15664,0.1123,1.43408,2.56684,1.20743,0.000484063,0.000484063,0.000484063
59,2796.2,1.04346,1.15448,0.98216,0.21417,0.26303,0.16582,0.11673,1.42882,2.65919,1.22833,0.000473064,0.000473064,0.000473064
60,2845.12,1.0316,1.1648,0.98767,0.25655,0.24283,0.1785,0.12092,1.43399,2.58718,1.2375,0.000462065,0.000462065,0.000462065
61,2889.93,1.0541,1.18005,0.98053,0.19579,0.23253,0.16043,0.11018,1.45105,2.52077,1.22724,0.000451066,0.000451066,0.000451066
62,2936.19,1.02951,1.16576,0.97009,0.29642,0.21078,0.17427,0.11331,1.43711,2.55953,1.22265,0.000440067,0.000440067,0.000440067
63,2981.87,1.02492,1.14251,0.97353,0.27147,0.24116,0.18247,0.12476,1.43272,2.61736,1.21257,0.000429068,0.000429068,0.000429068
64,3028.02,1.02845,1.10276,0.96507,0.23421,0.23071,0.16528,0.11313,1.45741,2.70341,1.25973,0.000418069,0.000418069,0.000418069
65,3073.72,0.99982,1.08517,0.96489,0.285,0.20007,0.16303,0.11203,1.45054,2.65433,1.25706,0.00040707,0.00040707,0.00040707
